Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
5.31297   ,-4.90981e+01,-3.66126e+01,-5.11258e+01,-4.57270e+01,-4.52788e+01,-4.88517e+01,-4.87231e+01,-4.15698e+01,,         0.26667,0.00000e+00,
5.36092   ,-4.96357e+01,-3.66944e+01,-5.33810e+01,-4.40927e+01,-4.45295e+01,-5.00536e+01,-4.68350e+01,-4.16869e+01,,         0.26833,-7.00000e+00,
5.40887   ,-4.95792e+01,-3.68970e+01,-5.20903e+01,-4.48407e+01,-4.44582e+01,-4.92462e+01,-4.62411e+01,-4.18791e+01,,         0.27000,-1.30000e+01,
5.45682   ,-4.86165e+01,-3.67222e+01,-5.27282e+01,-4.41633e+01,-4.53593e+01,-4.98455e+01,-4.60763e+01,-4.17348e+01,,         0.27167,-1.80000e+01,
5.50477   ,-4.92136e+01,-3.59097e+01,-5.17240e+01,-4.60568e+01,-4.43137e+01,-4.95306e+01,-5.09195e+01,-4.16275e+01,,         0.27333,-2.20000e+01,
5.55272   ,-5.15717e+01,-3.61027e+01,-5.16524e+01,-4.54597e+01,-4.56918e+01,-5.05294e+01,-5.05450e+01,-4.13753e+01,,         0.27500,-2.60000e+01,
5.60067   ,-4.94707e+01,-3.61238e+01,-5.34789e+01,-4.46784e+01,-4.56116e+01,-4.93841e+01,-4.83723e+01,-4.18847e+01,,         0.27667,-2.90000e+01,
5.64861   ,-5.21269e+01,-3.54906e+01,-5.36523e+01,-4.48329e+01,-4.53665e+01,-5.03037e+01,-4.80875e+01,-4.17974e+01,,         0.27833,-3.20000e+01,
5.69656   ,-5.09852e+01,-3.54431e+01,-5.28812e+01,-4.56012e+01,-4.67279e+01,-5.09102e+01,-4.85112e+01,-4.17512e+01,,         0.28000,-3.40000e+01,
5.74451   ,-5.15834e+01,-3.46198e+01,-5.25305e+01,-4.97671e+01,-4.72749e+01,-5.00475e+01,-5.08859e+01,-4.18224e+01,,         0.28167,-3.50000e+01,
5.79246   ,-4.86669e+01,-3.49465e+01,-5.27801e+01,-4.93047e+01,-4.79190e+01,-5.03415e+01,-4.93862e+01,-4.19934e+01,,         0.28333,-3.60000e+01,
5.84041   ,-4.92911e+01,-3.49998e+01,-5.26169e+01,-4.59970e+01,-4.73053e+01,-5.03294e+01,-4.90153e+01,-4.21862e+01,,         0.28500,-3.70000e+01,
5.88836   ,-5.16549e+01,-3.52817e+01,-5.36638e+01,-4.89615e+01,-4.70692e+01,-4.98980e+01,-4.91726e+01,-4.27845e+01,,         0.28667,-3.80000e+01,
5.93631   ,-5.06487e+01,-3.59293e+01,-5.40311e+01,-4.86405e+01,-4.74752e+01,-4.84795e+01,-5.02047e+01,-4.29728e+01,,         0.28833,-3.80000e+01,
5.98426   ,-5.08479e+01,-3.52073e+01,-5.30739e+01,-4.62545e+01,-4.87340e+01,-4.97311e+01,-5.18540e+01,-4.28574e+01,,         0.29000,-3.90000e+01,
6.03221   ,-4.90056e+01,-3.52336e+01,-5.40348e+01,-4.68910e+01,-4.81818e+01,-4.80218e+01,-5.12325e+01,-4.29835e+01,,         0.29167,-3.90000e+01,
6.08016   ,-5.16967e+01,-3.53727e+01,-5.35018e+01,-4.74700e+01,-4.51182e+01,-4.89601e+01,-4.90789e+01,-4.18254e+01,,         0.29333,-4.00000e+01,
6.12811   ,-5.02729e+01,-3.54172e+01,-5.34298e+01,-4.83108e+01,-4.62444e+01,-4.83707e+01,-4.77265e+01,-4.16126e+01,,         0.29500,-4.00000e+01,
6.17606   ,-4.88648e+01,-3.59575e+01,-5.27498e+01,-4.59148e+01,-4.48875e+01,-5.05374e+01,-4.80399e+01,-4.11745e+01,,         0.29667,-4.00000e+01,
6.22401   ,-5.01145e+01,-3.53656e+01,-5.33907e+01,-4.81229e+01,-4.54035e+01,-5.07498e+01,-4.89096e+01,-4.07320e+01,,         0.29833,-3.80000e+01,
